,churn,n_requests_1,n_requests_2,n_requests_3,diff_n_requests_1,diff_n_requests_2,diff_n_requests_3,diff_avg_vjnbe_requests_1,diff_avg_vjnbe_requests_2,diff_avg_vjnbe_requests_3,other_hsntsn_requests_1,other_hsntsn_requests_2,other_hsntsn_requests_3,n_accident,sum_accident_cost,vehicle_age,diff_car_holder,contract_age_months,age_contract_holder,age_youngest_driver,years_driving_license
53078,0,0,0,0,-5.45,-6.0,-6.67,0.0,0.0,0.0,0.0,0.0,0.0,1,1012,4,0,36,45,32,27
35310,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,0,56,31,21,11
97864,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,40,39,24,19
32936,0,20,20,20,20.0,10.0,6.67,2.221739880534658,20.382840712901658,15.649114318528373,0.6313837529529485,0.0,0.4485740730672148,0,0,4,1,72,25,23,6
7464,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,40,24,24,4
61268,0,0,0,0,-9.09,-10.0,-11.11,0.0,0.0,0.0,0.0,0.0,0.0,1,3128,9,0,45,20,20,1
38108,0,0,0,0,-2.27,-2.5,-2.78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,54,24,24,6
72634,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2004,0,1,70,43,30,23
743,0,0,0,0,-4.91,-5.4,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,0,45,33,28,13
37073,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,21,30,23,10
88140,0,0,0,0,-2.91,-3.2,-3.56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12,1,36,35,27,16
57129,0,3,3,3,2.0,0.3999999999999999,-0.22,19.68515518532629,18.805913849842298,21.743804993747958,0.0,0.2941786824852917,0.28642239889385346,0,0,20,1,84,32,18,12
24007,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,90,31,24,11
92598,0,0,0,0,-0.45,-0.5,-0.56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,96,21,21,1
57703,0,0,8,8,-0.73,4.0,2.67,0.0,-3.5362809499136123,16.657465757058215,0.0,0.3340104438495797,0.3888740849606406,0,0,6,1,81,44,43,24
4318,0,0,0,0,-0.73,-0.8,-0.89,0.0,0.0,0.0,0.0,0.0,0.0,1,1224,15,1,32,23,19,5
36552,0,0,0,0,-1.0,-1.1,-1.22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,48,31,30,11
81223,1,0,7,7,-0.64,3.5,2.33,0.0,49.28160468940903,22.50001908071281,0.0,0.8185753446737759,1.0,1,1281,35,0,45,40,18,19
23709,0,32,32,32,27.64,11.2,5.34,13.998148763070915,6.295166453942469,8.73812706029392,0.0,0.02417402275775371,0.2219615906592836,2,2824,24,0,72,62,30,41
90256,0,0,0,38,-3.45,-3.8,12.67,0.0,0.0,3.206356994550817,0.0,0.0,0.042913397877751634,1,1980,6,0,80,28,28,8
53420,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15,0,40,34,18,16
29612,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15,0,12,38,18,18
1354,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,108,36,31,16
18489,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12,0,84,34,18,14
